ï»¿CO_UNIDADE;CO_CNES;NU_CNPJ_MANTENEDORA;TP_PFPJ;NIVEL_DEP;NO_RAZAO_SOCIAL;NO_FANTASIA;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_ATIVIDADE;CO_CLIENTELA;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE;CO_NATUREZA_JUR;CO_TIPO_UNIDADE;CO_TIPO_ESTABELECIMENTO;CO_ATIVIDADE_PRINCIPAL;STAFF_ACS_ENDEMIAS;STAFF_ADMIN_GESTAO_APOIO;STAFF_DIAG_LAB_IMAGEM;STAFF_ENFERMAGEM;STAFF_FARMACIA;STAFF_MEDICOS;STAFF_ODONTOLOGIA;STAFF_OUTROS;STAFF_OUTROS_SUPERIOR_SAUDE;STAFF_SERVICOS_GERAIS;STAFF_TRANSPORTE_URGENCIA;Latitude;Longitude;Precisao_Tipo
4,30677E+12;9368159;;3;1;D J CALEMAN FISIOTERAPIA E ASSESSORIA EM SAUDE ME;CLINICA COLUNAS;RUA SOMBRIO;307;SALA 01;CENTRO;92990000;4;1.0;36;430676;-29,994932;-51,314248;2135;;OUTROS;;0;0;0;0;0;0;0;0;0;0;0;-29,994932;-51,314248;GEOAPIFY | tentativa_1 | conf=1 | city=1 | street=1
4,30676E+12;264407;;1;1;JULIANA DA ROSA ROYES;JR ODONTOLOGIA;RUA ADAO DIONISIO BORTOWSKI;270;SALA 01;CENTRO;92990000;4;1.0;22;430676;-29,999041;-51,30829;4000;;AMBULATORIO;1.0;0;0;0;0;0;0;1;0;0;0;0;-29,999041;-51,30829;GEOAPIFY | tentativa_1 | conf=0.9 | city=1 | street=0.9
4,30676E+12;2224879;92324706000127.0;3;3;PREFEITURA MUNICIPAL DE ELDORADO DO SUL;ESF JORGE VIDAL AMARAL LOTEAMENTO;RUA ANTONIO MARIANTE;301;;LOTEAMENTO;92990000;4;1.0;2;430676;-29,992022;-51,316547;1244;;UNIDADE BASICA DE SAUDE;12.0;1;2;0;7;0;15;3;1;3;0;0;-29,992022;-51,316547;GEOAPIFY | tentativa_1 | conf=0.3471428571428572 | city=1 | street=1
4,30676E+12;2224887;92324706000127.0;3;3;PREFEITURA MUNICIPAL DE ELDORADO DO SUL;ESF SANS SOUCI;RUA MILTON GUIMARAES GUERREIRO;130;;SANS SOUCI;92990000;4;1.0;2;430676;-30,0438324;-51,3126159;1244;;UNIDADE BASICA DE SAUDE;12.0;14;3;0;17;0;13;4;0;2;0;0;-30,0438324;-51,3126159;GEOAPIFY | tentativa_1 | conf=0.4137567567567568 | city=1 | street=0.9
4,30677E+12;5871255;;3;1;FIZZIUS SERVICOS DE FISIOTERAPIA LTDA;FIZZIUS SERVICOS DE FISIOTERAPIA;RUA SOMBRIO;441;;CENTRO;92990000;4;3.0;36;430676;-29,993994;-51,313591;2062;;OUTROS;;0;0;0;0;0;0;0;0;0;0;0;-29,993994;-51,313591;GEOAPIFY | tentativa_1 | conf=0.7941176470588235 | city=1 | street=0.9
4,30677E+12;9950605;92324706000127.0;3;3;PREFEITURA MUNICIPAL DE ELDORADO DO SUL;FARMACIA MUNICIPAL DE ELDORADO DO SUL;RUA MARIO QUINTANA;52;;CIDADE VERDE;92990000;4;1.0;43;430676;-29,999288;-51,305308;1244;;CENTRAL DE ABASTECIMENTO;24.0;0;4;0;0;3;0;0;0;0;0;0;-29,999288;-51,305308;GEOAPIFY | tentativa_1 | conf=0.6942857142857144 | city=1 | street=1
4,30677E+12;5176611;;1;1;FRANCISCO CARLOS STOCKMANS COMPARSI;FRANCISCO CARLOS STOCKMANS COMPARSI;AV EMANCIPACAO;204;;CENTRO;92990000;4;1.0;22;430676;-29,99545991;-51,31396587;4000;;AMBULATORIO;1.0;0;0;0;0;0;0;2;0;0;0;0;-29,99545991;-51,31396587;GEOAPIFY | tentativa_1 | conf=0.75 | city=1 | street=0.9
4,30676E+12;450847;;1;1;FERNANDO SOLIMAN;CONSULTORIO MEDICO FERNANDO SOLIMAN;RUA GRECIA;1117;;RESIDENCIAL ELDORADO;92990000;4;1.0;22;430676;-30,00038;-51,31708;4000;;AMBULATORIO;1.0;0;0;0;0;0;0;0;0;0;0;0;-30,00038;-51,31708;GEOAPIFY | tentativa_1 | conf=0.6942857142857144 | city=1 | street=1
4,30676E+12;4056086;;3;1;RENATA ADRIANE GARCIA;RG SERVICOS;JACUI;56;SALA 02;ITAI;92990000;4;;60;430676;-30,006778;-51,305808;2062;;OUTROS;22.0;0;1;0;0;0;59;0;0;0;0;0;-30,006778;-51,305808;GEOAPIFY | tentativa_1 | conf=0.9 | city=1 | street=0.9
4,30677E+12;7357249;;3;1;GENARO LAITANO ME;GENARO LAITANO SERVICOS MEDICOS;AVENIDA EMANCIPACAO;23;SALA 01;CENTRO;92990000;4;1.0;22;430676;-29,997184;-51,305977;2135;;AMBULATORIO;1.0;0;0;0;0;0;0;0;0;0;0;0;-29,997184;-51,305977;GEOAPIFY | tentativa_1 | conf=1 | city=1 | street=1
4,30676E+12;2948958;;3;1;JACQUELINE DA CRUZ TELLITU;JACQUELINE DA CRUZ TELLITU;SOMBRIO;123;SALA B;CENTRO;92990000;4;1.0;22;430676;-29,9963;-51,315288;2135;;AMBULATORIO;1.0;0;0;0;0;0;0;1;0;0;0;0;-29,9963;-51,315288;GEOAPIFY | tentativa_1 | conf=0.9 | city=1 | street=0.9
4,30676E+12;2224852;92324706000127.0;3;3;PREFEITURA MUNICIPAL DE ELDORADO DO SUL;ESF NELSON MARCHEZAN;RUA SINDOLFO DA SILVA;485;;PARQUE ELDORADO;92990000;4;1.0;2;430676;-29,9976311;-51,3063965;1244;;UNIDADE BASICA DE SAUDE;12.0;3;3;0;20;0;13;2;0;3;0;0;-29,9976311;-51,3063965;GEOAPIFY | tentativa_1 | conf=0.20142857142857143 | city=1 | street=None
4,30677E+12;5176719;;3;1;LABORATORIO HEMOCEL LTDA;LABORATORIO HEMOCEL;EMANCIPACAO;23;SALAS 04 E 206;CENTRO;92990000;4;1.0;36;430676;-29,9976311;-51,3063965;2240;;AMBULATORIO;1.0;0;0;0;0;0;0;0;0;0;0;0;-29,9976311;-51,3063965;GEOAPIFY | tentativa_1 | conf=0.15 | city=1 | street=None
4,30677E+12;7153686;92324706000127.0;3;3;PREFEITURA MUNICIPAL DE ELDORADO DO SUL;CAPS CUCA LEGAL;RUA LAGUNA;221;;CENTRO;92990000;4;1.0;70;430676;-29,996482;-51,308193;1244;;AMBULATORIO;1.0;0;1;0;7;0;11;0;1;3;0;0;-29,996482;-51,308193;GEOAPIFY | tentativa_1 | conf=0.792 | city=1 | street=0.9
4,30676E+12;4301501;;1;1;LUCIA MOGLIA DUTRA;DS CLINICA OROFACIAL LTDA;RUA GRECIA;1117;CONJ 01;CENTRO NOVO;92990000;4;3.0;22;430676;-30,00038;-51,31708;4000;;AMBULATORIO;1.0;0;0;0;0;0;0;0;0;0;0;0;-30,00038;-51,31708;GEOAPIFY | tentativa_1 | conf=0 | city=0 | street=0
