NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;TP_SITUACAO_FUNCIONAMENTO;Qtd_Prof;Qtd_Matri_Inf;Qtd_Matri_Fund;Qtd_Matri_Med;Qtd_Matri_Prof;Qtd_Matri_Eja;Qtd_Matri_Esp;Latitude;Longitude;Precisao_Tipo
2024;Lajeado;4311403;ESC MUNICIPAL DE EDUC INF CANTINHO MAGICO;43193030;3;0;1;RUA SAO LEOPOLDO;275;;SANTO ANTONIO;95901846;1;9;264;0;0;0;0;6;-29,4877192;-51,9872741;ROOFTOP
2024;Lajeado;4311403;ESCOLA DE EDUCACAO ESPECIAL BEM-ME-QUER - APAE;43179320;4;4;1;RUA WASHINGTON LUIZ;270;APAE;SAO CRISTOVAO;95913196;1;21;24;219;0;0;123;252;-29,4480206;-51,9611847;ROOFTOP
2024;Lajeado;4311403;ESCOLA DE EDUCACAO INFANTIL ARCO-IRIS;43213120;4;1;1;AVENIDA BENJAMIN CONSTANT;3881;;MONTANHA;95905080;1;10;218;0;0;0;0;2;-29,4502366;-51,9868146;ROOFTOP
2024;Lajeado;4311403;ESCOLA DE EDUCACAO INFANTIL BRINCAROLA;43174493;4;1;1;RUA DR. GERMANO BERNER;941;;AMERICANO;95900024;1;2;126;0;0;0;0;0;-29,4548033;-51,9690822;ROOFTOP
2024;Lajeado;4311403;ESCOLA DE EDUCACAO INFANTIL DENTE DE LEITE;43200052;4;1;1;AVENIDA AVENIDA AVELINO TALLINI;488;;UNIVERSITARIO;95914014;1;10;146;0;0;0;0;2;-29,4440893;-51,9543383;ROOFTOP
2024;Lajeado;4311403;ESCOLA DE EDUCACAO INFANTIL GARATUJA;43193102;4;1;1;AVENIDA AVENIDA SETE DE SETEMBRO;533;;MOINHOS;95900718;1;7;250;0;0;0;0;4;-29,4576548;-51,9766329;ROOFTOP
2024;Lajeado;4311403;ESCOLA MATERNAL E JARDIM DE INFANCIA CASA DA CRIANCA;43083587;4;4;1;RUA JOAO ABOTT;506;;CENTRO;95900108;1;29;574;0;0;0;0;6;-29,4670636;-51,9670343;ROOFTOP
2024;Lajeado;4311403;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SER - SABER EDUCAR RESPEITAR;43213448;3;0;1;RUA ARNOLDO UHRY;2180;;SANTO ANTONIO;95901720;1;18;422;0;0;0;0;18;-29,4828668;-51,9887714;ROOFTOP
2024;Lajeado;4311403;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LAURO MATHIAS MULLER;43183468;3;0;1;RUA ETWINO THEOBALDO THOMAS;1300;;PLANALTO;95910438;1;9;32;537;0;0;0;14;-29,4246936;-51,9847629;ROOFTOP
2024;Lajeado;4311403;ESCOLA PRIVADA DE EDUCACAO INFANTIL SEMENTINHA;43215084;4;1;1;RUA SALDANHA MARINHO;185;;CENTRO;95900020;1;10;28;0;0;0;0;0;-29,4610142;-51,9648536;ROOFTOP
2024;Lajeado;4311403;IFSUL - CAMPUS LAJEADO;43010210;1;0;1;RUA JOAO GOULART;2150;IFSUL;OLARIAS;95910016;1;19;0;0;1164;776;0;46;-29,4364215;-51,9865354;ROOFTOP
2024;Lajeado;4311403;NEEJA LIBERDADE;43051731;2;0;1;R RUA ERMUNDO F ELY 2802 PRESIDIO;2802;PRESIDIO;FLORESTAL;95900684;1;1;0;0;0;0;153;0;-29,451557;-51,9776219;ROOFTOP
2024;Lajeado;4311403;NUCL E EJA E CP DE LAJEADO;43169287;2;0;1;R JULIO DE CASTILHOS 592 AP 01 E 02;592;AP 01 E 02;CENTRO;95900170;1;11;0;0;0;0;300;4;-29,4654876;-51,9641385;ROOFTOP
2024;Lajeado;4311403;PARAISO INFANTIL ESCOLA DE EDUCACAO INFANTIL;43193080;4;1;1;RUA RUA TIRADENTES;555;;CENTRO;95900076;1;13;110;0;0;0;0;0;-29,4612764;-51,9688614;ROOFTOP
