NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;TP_SITUACAO_FUNCIONAMENTO;Qtd_Prof;Qtd_Matri_Inf;Qtd_Matri_Fund;Qtd_Matri_Med;Qtd_Matri_Prof;Qtd_Matri_Eja;Qtd_Matri_Esp;Latitude;Longitude;Precisao_Tipo
2024;Porto Alegre;4314902;EEI BALAO AZUL VIVENCIAS;43047629;Privada;1;1;RUA PROFESSOR JOSE SALGADO MARTINS;191;;BELA VISTA;90450150;1;9;138;0;0;0;0;0;-30,0333506;-51,1872813;ROOFTOP
2024;Porto Alegre;4314902;EEI BANANA NANIKA;43004385;Privada;1;1;AVENIDA PIRAPO;22;;PETROPOLIS;90470450;1;8;36;0;0;0;0;0;-30,0407075;-51,1798459;ROOFTOP
2024;Porto Alegre;4314902;EEI BISPO ISAAC RODRIGUES ACO -CACIM;43187455;Privada;4;1;AVENIDA PROTASIO ALVES;;;PETROPOLIS;91310002;1;5;100;0;0;0;0;2;-30,0433345;-51,1829857;GEOMETRIC_CENTER
2024;Porto Alegre;4314902;EEI BRINCANDO COM AS LETRAS;43362478;Privada;1;1;RUA GAVEA;604;;IPANEMA;91760040;1;4;42;0;0;0;0;0;-30,1325378;-51,2270893;ROOFTOP
2024;Porto Alegre;4314902;EEI BRINCAR E APRENDER;43200923;Privada;1;1;RUA GARIBALDI;800;;INDEPENDENCIA;90035051;1;10;262;0;0;0;0;0;-30,0276157;-51,2149693;ROOFTOP
2024;Porto Alegre;4314902;EEI BRINCAR E ARTE;43046096;Privada;1;1;RUA RONDONIA;607;;RESTINGA VELHA;91790470;1;8;54;0;0;0;0;0;-30,1593169;-51,1429511;ROOFTOP
2024;Porto Alegre;4314902;EEI CAMBALHOTA KIDS;43002030;Privada;1;1;RUA DR. VOLTAIRE PIRES;617;;SANTO ANTONIO;90610250;1;6;44;0;0;0;0;0;-30,0584885;-51,2051026;ROOFTOP
2024;Porto Alegre;4314902;EEI CANTINHO DA CRIANCA;43162509;Privada;1;1;RUA JOSE ERNESTO NEDEL;296;;PROTASIO ALVES;91240640;1;5;86;0;0;0;0;0;-30,0235773;-51,1179792;ROOFTOP
2024;Porto Alegre;4314902;EEI CANTINHO DO CEU;43004881;Privada;1;1;AVENIDA ANTONIO CARVALHO;1451;;AGRONOMIA;91430001;1;3;38;0;0;0;0;2;-30,0567322;-51,1476117;ROOFTOP
2024;Porto Alegre;4314902;EEI CANTINHO DO SABER;43004415;Privada;1;1;AVENIDA SAO SEBASTIAO;57;;NONOAI;90830420;1;7;78;0;0;0;0;0;-30,0916733;-51,2227028;ROOFTOP
